"postnummer","week","barn: 0","barn: 1","barn: 2","barn: 3","Inkomstkälla: Förvärvsarbete","Inkomstkälla: Studerande","Inkomstkälla: Vård av barn/anhörig","Inkomstkälla: Sjuk","Inkomstkälla: Arbetslös","Inkomstkälla: Förtidspension","Inkomstkälla: Ekonomiskt bistånd","Inkomstkälla: Arbetsmarknadspol åtgärd","Inkomstkälla: Ålderspensionär","Inkomstkälla: Saknar inkomst","Medelålder","Befolkning 0-17 år","Befolkning 18+ år","Befolkning Totalt","Befolkning 0-17 år %","Befolkning 18+ år %","Inkomst Kvartil 1","Inkomst Kvartil 2","Inkomst Kvartil 3","Inkomst Kvartil 4","Inkomst: Median","Genomsnittlig boarea per person"
"74362","26","0.6423076923","0.1076923077","0.2","0.05","0.8753709199","0.0296735905","0.0296735905","0.008902077151","0","0.0118694362","0.008902077151","0","0.008902077151","0.02670623145","38.7","171","506","677","0.2525849335","0.7474150665","0.1830663616","0.2105263158","0.3066361556","0.299771167","277389","41.9"
"74363","26","0.6302729529","0.1042183623","0.1935483871","0.07196029777","0.8907849829","0.02389078498","0.01194539249","0.005119453925","0.005119453925","0.01365187713","0.005119453925","0","0.0204778157","0.02389078498","40","291","821","1112","0.2616906475","0.7383093525","0.1635220126","0.2339622642","0.3018867925","0.3006289308","272598","43.3"
"74364","26","0.5509138381","0.135770235","0.2454308094","0.06788511749","0.8923611111","0.02083333333","0.01215277778","0.01388888889","0","0.02777777778","0.005208333333","0","0.01736111111","0.01041666667","37.2","321","744","1065","0.3014084507","0.6985915493","0.1862068966","0.2055172414","0.2703448276","0.3379310345","279670","41"
"74371","26","0.6519823789","0.1167400881","0.1894273128","0.04185022026","0.8676880223","0.01810584958","0.02924791086","0.01949860724","0","0.01810584958","0.008356545961","0","0.0139275766","0.02506963788","39.4","289","937","1226","0.235725938","0.764274062","0.1748329621","0.223830735","0.29844098","0.3028953229","277050","42.6"
"74372","26","0.6812749004","0.1195219124","0.1513944223","0.04780876494","0.8052631579","0.02894736842","0.02105263158","0.03421052632","0.007894736842","0.05","0.007894736842","0.007894736842","0.01052631579","0.02631578947","40.4","150","502","652","0.2300613497","0.7699386503","0.2307692308","0.2328482328","0.2931392931","0.2432432432","248266","42.5"
"74373","26","0.7038626609","0.1330472103","0.1244635193","0.03862660944","0.8636363636","0.01212121212","0.01818181818","0.01818181818","0.009090909091","0.03333333333","0.009090909091","0","0.009090909091","0.02727272727","40.5","122","454","576","0.2118055556","0.7881944444","0.2147806005","0.2240184758","0.3256351039","0.2355658199","260077","46.6"
"74374","26","0.59375","0.10546875","0.25","0.05078125","0.8524590164","0.02732240437","0.04098360656","0.01092896175","0","0.01366120219","0.008196721311","0","0.02732240437","0.01912568306","36.2","197","486","683","0.2884333821","0.7115666179","0.1769911504","0.1725663717","0.3252212389","0.3252212389","285259","42.6"
"74381","26","0.5487364621","0.1299638989","0.2346570397","0.08664259928","0.9071895425","0.02483660131","0.01568627451","0.006535947712","0","0.01699346405","0.003921568627","0.003921568627","0.006535947712","0.01437908497","38.3","492","1104","1596","0.3082706767","0.6917293233","0.1859813084","0.2056074766","0.2271028037","0.3813084112","287283","41.9"
"74382","26","0.5918367347","0.1111111111","0.20861678","0.08843537415","0.8856304985","0.0219941349","0.01759530792","0.01026392962","0.004398826979","0.03079178886","0","0.004398826979","0.01612903226","0.008797653959","38.9","354","917","1271","0.2785208497","0.7214791503","0.1449438202","0.2056179775","0.2595505618","0.3898876404","290446","45.9"
"74386","26","0.6418786693","0.1389432485","0.1604696673","0.05870841487","0.8834019204","0.01371742112","0.02606310014","0.009602194787","0.004115226337","0.01920438957","0","0.0109739369","0.01783264746","0.01508916324","40.1","338","1012","1350","0.2503703704","0.7496296296","0.1798336798","0.2338877339","0.2983367983","0.2879417879","264335","46.8"
"74387","26","0.7700534759","0.09090909091","0.09625668449","0.04278074866","0.8421052632","0.02255639098","0.02255639098","0.02255639098","0.01127819549","0.04135338346","0.01127819549","0","0","0.02631578947","44.9","83","375","458","0.1812227074","0.8187772926","0.2397820163","0.2397820163","0.2888283379","0.2316076294","244186","49.5"
"74391","26","0.625","0.1183035714","0.171875","0.08482142857","0.8704819277","0.01506024096","0.01204819277","0.03012048193","0","0.02259036145","0.004518072289","0.004518072289","0.01054216867","0.03012048193","38.3","339","905","1244","0.2725080386","0.7274919614","0.186540732","0.2314049587","0.2585596222","0.3234946871","262869","45.2"
"74392","26","0.746835443","0.1012658228","0.1518987342","0","0.8709677419","0.04838709677","0","0","0","0","0","0","0.02419354839","0.0564516129","44.4","35","171","206","0.1699029126","0.8300970874","0.269005848","0.1754385965","0.298245614","0.2573099415","255262","49.8"
"74393","26","0.6884615385","0.1076923077","0.1615384615","0.04230769231","0.8727272727","0.02337662338","0.02077922078","0.01818181818","0","0.01038961039","0.007792207792","0","0.01558441558","0.03116883117","40.5","148","531","679","0.2179675994","0.7820324006","0.203187251","0.2071713147","0.2868525896","0.3027888446","271993","48.8"
"74394","26","0.7169811321","0.1108490566","0.108490566","0.06367924528","0.8171334432","0.02306425041","0.02306425041","0.02965403624","0","0.0313014827","0.01812191104","0","0.0197693575","0.03789126853","40.2","231","776","1007","0.2293942403","0.7706057597","0.2522522523","0.2265122265","0.2895752896","0.2316602317","244609","40"
"74431","26","0.7627118644","0.09216101695","0.09745762712","0.04766949153","0.7998017839","0.02378592666","0.01982160555","0.02675916749","0.002973240833","0.04261645193","0.03468780971","0.01288404361","0.01486620416","0.02180376611","43.1","417","1625","2042","0.2042115573","0.7957884427","0.2904509284","0.2798408488","0.2718832891","0.1578249337","216953","42.2"
"74432","26","0.7602179837","0.10626703","0.09264305177","0.0408719346","0.7728395062","0.02716049383","0.02222222222","0.03209876543","0.01481481481","0.06172839506","0.02962962963","0","0.01481481481","0.02469135802","43.9","157","616","773","0.2031047865","0.7968952135","0.2601351351","0.3108108108","0.2719594595","0.1570945946","216275","43.6"
"74450","26","0.8341836735","0.06632653061","0.06632653061","0.03316326531","0.7552447552","0.02797202797","0.01631701632","0.02331002331","0","0.07226107226","0.05128205128","0.01165501166","0.01631701632","0.02564102564","44.1","126","649","775","0.1625806452","0.8374193548","0.3354632588","0.2843450479","0.2779552716","0.1022364217","199768","40.5"
"74451","26","0.7058823529","0.1323529412","0.1117647059","0.05","0.7291666667","0.02546296296","0.02546296296","0.02546296296","0","0.06481481481","0.06712962963","0.006944444444","0.01388888889","0.04166666667","39.4","189","587","776","0.243556701","0.756443299","0.2939130435","0.28","0.252173913","0.1739130435","220531","41"
"74491","26","0.7546174142","0.09234828496","0.09762532982","0.05540897098","0.816700611","0.01018329939","0.03054989817","0.02647657841","0.006109979633","0.03462321792","0","0.01221995927","0.02443991853","0.03869653768","43.5","183","719","902","0.2028824834","0.7971175166","0.2844702467","0.2162554427","0.267053701","0.2322206096","238954","49.4"
"74492","26","0.8199052133","0.07582938389","0.08530805687","0.01895734597","0.8373015873","0.01984126984","0.0119047619","0.02380952381","0","0.05555555556","0","0.0119047619","0.02777777778","0.0119047619","47.8","64","392","456","0.1403508772","0.8596491228","0.290237467","0.2612137203","0.2453825858","0.2031662269","221701","53.4"
"74493","26","0.8565400844","0.06329113924","0.05485232068","0.0253164557","0.7624521073","0.01149425287","0.030651341","0.05363984674","0","0.06896551724","0.0153256705","0.01915708812","0.01149425287","0.02681992337","49.1","64","428","492","0.1300813008","0.8699186992","0.316953317","0.2776412776","0.2874692875","0.1179361179","202919","53.2"
"74494","26","0.8918918919","0.1081081081","0","0","0.8181818182","0","0","0.09090909091","0","0.09090909091","0","0","0","0","51.3","6","67","73","0.08219178082","0.9178082192","0.253968254","0.2380952381","0.3492063492","0.1587301587","239380","52.7"
"74495","26","0.7146282974","0.09352517986","0.1510791367","0.04076738609","0.8303571429","0.02857142857","0.007142857143","0.01785714286","0","0.0375","0.0125","0.0125","0.01607142857","0.0375","40.7","224","788","1012","0.2213438735","0.7786561265","0.2536912752","0.2577181208","0.2966442953","0.1919463087","233639","46.9"
"74496","26","0.7476635514","0.09579439252","0.1051401869","0.05140186916","0.8375733855","0.005870841487","0.02152641879","0.01761252446","0.005870841487","0.03522504892","0.0156555773","0.005870841487","0.02935420744","0.02544031311","42.8","214","773","987","0.2168186424","0.7831813576","0.219273743","0.2444134078","0.2918994413","0.2444134078","250969","42.9"
"74497","26","0.7290502793","0.1340782123","0.1033519553","0.03351955307","0.8201754386","0.01535087719","0.02412280702","0.02412280702","0.006578947368","0.0350877193","0.01096491228","0.01096491228","0.008771929825","0.04385964912","43.5","164","649","813","0.2017220172","0.7982779828","0.2443365696","0.2508090615","0.2750809061","0.2297734628","241224","44"
"74530","26","0.872909699","0.0635451505","0.04459308807","0.01895206243","0.8010075567","0.01511335013","0.01133501259","0.02141057935","0.01007556675","0.03778337531","0.04911838791","0.01511335013","0.01511335013","0.02392947103","49.1","194","1334","1528","0.1269633508","0.8730366492","0.2162162162","0.3227799228","0.2525096525","0.2084942085","226504","44"
